epoch,from_worker,to_worker,activity_type,#(activities),t(activities),#(records)
1,3,0,DataMessage,1,1969927,1000
1,3,6,ControlMessage,1,1347504,0
1,15,4,ControlMessage,1,665054010,0
1,9,5,ControlMessage,1,665441178,0
1,12,2,ControlMessage,1,665266005,0
1,11,3,ControlMessage,1,665772822,0
1,15,7,ControlMessage,1,665118468,0
1,12,4,ControlMessage,1,665557622,0
1,8,6,ControlMessage,1,665580402,0
1,12,12,Processing,2,722778,2000
1,15,9,ControlMessage,1,307766,0
1,5,12,ControlMessage,1,0,0
1,10,1,ControlMessage,1,667250223,0
1,10,14,ControlMessage,1,911924,0
1,11,1,ControlMessage,1,667721121,0
1,4,8,ControlMessage,1,0,0
1,7,0,ControlMessage,1,3604282,0
1,15,3,ControlMessage,1,664694877,0
1,5,8,ControlMessage,1,0,0
1,14,1,ControlMessage,1,667162000,0
1,13,2,ControlMessage,1,665281384,0
1,4,4,Processing,2,788282,2000
1,1,11,ControlMessage,1,0,0
1,4,13,ControlMessage,1,0,0
1,14,7,ControlMessage,1,665447766,0
1,7,1,ControlMessage,1,2791907,0
1,5,7,ControlMessage,1,289570,0
1,7,7,Busy,8,417162,0
1,1,0,ControlMessage,1,66135,0
1,3,7,ControlMessage,1,1315984,0
1,9,8,ControlMessage,1,229104,0
1,10,6,ControlMessage,1,665475525,0
1,2,9,ControlMessage,1,271214,0
1,4,4,Waiting,19,668602552,0
1,3,1,ControlMessage,1,2095482,0
1,4,15,ControlMessage,1,0,0
1,7,9,ControlMessage,1,0,0
1,12,0,DataMessage,1,667523494,1000
1,15,10,ControlMessage,1,289353,0
1,6,10,ControlMessage,1,0,0
1,2,3,ControlMessage,1,3438063,0
1,11,0,DataMessage,1,667482144,1000
1,4,12,ControlMessage,1,0,0
1,10,2,ControlMessage,1,665282345,0
1,7,6,ControlMessage,1,400635,0
1,9,9,Spinning,7,243377,0
1,13,13,Busy,10,726238,0
1,0,3,ControlMessage,5,0,0
1,9,9,Busy,9,565630,0
1,14,9,ControlMessage,1,807374,0
1,14,6,ControlMessage,1,665538007,0
1,9,7,ControlMessage,1,665434271,0
1,6,5,ControlMessage,1,633240,0
1,7,7,Waiting,19,668476351,0
1,1,2,ControlMessage,1,0,0
1,10,13,ControlMessage,1,820031,0
1,14,10,ControlMessage,1,729841,0
1,13,9,ControlMessage,1,897218,0
1,12,11,ControlMessage,1,543981,0
1,0,4,ControlMessage,5,0,0
1,3,3,Waiting,18,665542653,0
1,9,2,ControlMessage,1,665641384,0
1,12,14,ControlMessage,1,429821,0
1,15,11,ControlMessage,1,294631,0
1,8,1,ControlMessage,1,667676774,0
1,9,6,ControlMessage,1,665527112,0
1,11,15,ControlMessage,1,1500376,0
1,6,6,Spinning,7,203306,0
1,14,0,ControlMessage,1,669292843,0
1,8,5,ControlMessage,1,665496604,0
1,12,5,ControlMessage,1,665486483,0
1,1,3,ControlMessage,1,1449321,0
1,1,14,ControlMessage,1,0,0
1,13,14,ControlMessage,1,421539,0
1,2,14,ControlMessage,1,338749,0
1,14,11,ControlMessage,1,737337,0
1,6,4,ControlMessage,1,376550,0
1,3,4,ControlMessage,1,1298112,0
1,2,0,ControlMessage,1,2054695,0
1,15,1,ControlMessage,1,666643483,0
1,5,2,ControlMessage,1,982800,0
1,3,14,ControlMessage,1,0,0
1,2,8,ControlMessage,1,278570,0
1,8,13,ControlMessage,1,903473,0
1,2,1,ControlMessage,1,2342639,0
1,4,4,Spinning,7,187213,0
1,11,11,Waiting,18,4480421,0
1,12,7,ControlMessage,1,665479476,0
1,7,3,ControlMessage,1,1336716,0
1,2,2,Spinning,9,403776,0
1,5,13,ControlMessage,1,0,0
1,3,15,ControlMessage,1,0,0
1,3,13,ControlMessage,1,0,0
1,8,4,ControlMessage,1,665565428,0
1,10,10,Processing,2,856276,2000
1,1,1,Waiting,19,669478601,0
1,2,2,Waiting,19,669278432,0
1,6,11,ControlMessage,1,0,0
1,7,13,ControlMessage,1,0,0
1,2,4,ControlMessage,1,2669894,0
1,10,11,ControlMessage,1,124027,0
1,5,14,ControlMessage,1,0,0
1,13,0,ControlMessage,1,669385418,0
1,15,2,ControlMessage,1,664682598,0
1,14,14,Busy,10,671247,0
1,5,5,Waiting,19,668439899,0
1,0,12,ControlMessage,5,0,0
1,3,11,ControlMessage,1,0,0
